Station Code,Area Type,Year,Month,Solar Radiation,ETo,PET,Sunshine (Hours),Wind Speed (m/s),Cloud Coverage (Octs),Humidity (percent),Total Rainfall (mm),Temperature (Deg.Cel)
10120,100,1961,1,150.676,22.4,24.61866667,6.938,0.02,0.58,73.32,0,26.67
10120,100,1961,2,167.5353333,25.49266667,28.008,8.26,0.58,1.71,67.5,4,25.4
10120,100,1961,3,221.8266667,46.99266667,51.64,7.232,0.97,1.1,52.74,0,33.48
10120,100,1961,4,228.4893334,51.25,56.318,9.36,0.27,1.23,50.1,4,33.94
10120,100,1961,5,206.548,44.684,49.10666667,7.59,0.2,2.61,65.71,73,33.8
10120,100,1961,6,188.092,40.99066667,45.05333333,5.612,0.36,4.87,82.67,404,31.28
10120,100,1961,7,191.6506667,42.698,46.918,6.132,0.23,4.87,83.42,149,32.57
10120,100,1961,8,174.5326667,38.028,41.78666667,5.33,0.15,5.58,85.06,192,32.13
10120,100,1961,9,199.942,40.52333333,44.53266667,7.706,0.15,3.93,82.37,133,32.46
10120,100,1961,10,181.4306667,36.95333333,40.604,6.758,0,2.42,80.55,105,31.4
10120,100,1961,11,167.5573333,26.83866667,29.494,6.938,0,0.63,73.83,0,28.4
10120,100,1961,12,144.4606667,21.19866667,23.29733333,6.702,0,1.03,76.19,4,24.35
10120,100,1962,1,161.0453333,23.47266667,25.798,8.174,0,0.45,71,5,24.2
10120,100,1962,2,179.8333333,30.37333333,33.376,8.66,0,0.71,65.29,2,28.84
10120,100,1962,3,240.7293333,57.26866667,62.932,9.648,0.04,0.29,47,10,33.3
10120,100,1962,4,223.96,47.794,52.52133333,9.082,0.37,1.7,43.37,27,34.43
10120,100,1962,5,211.1326666,47.04,51.69533333,7.68,0.62,3.39,69.65,64,33.06
10120,100,1962,6,193.9586667,44.492,48.88733333,5.304,0.3,5.6,81.43,193,32.5
10120,100,1962,7,179.8873333,39.83466667,43.778,5.48,0.24,5.06,84.13,179,32.8
10120,100,1962,8,173.69,38.02466667,41.77933333,4.494,0.19,5.87,85.65,556,31.63
10120,100,1962,9,188.6486667,42.39933333,46.59266667,5.302,0.19,3.5,82.87,347,33.18
10120,100,1962,10,192.5113333,37.08133333,40.74733333,7.918,0,1.35,74.61,52,31.62
10120,100,1962,11,175.306,28.606,31.43866667,6.938,0,0.07,72.33,0,29.72
10120,100,1962,12,152.738,21.75,23.89866667,6.938,0,0.61,74.03,0,26.39
10120,100,1963,1,159.204,22.364,24.57866667,6.938,0,0.42,69.48,0,26.22
10120,100,1963,2,183.988,35.842,39.39066667,6.938,0,0.43,56.43,0,30.51
10120,100,1963,3,211.4133333,47.27266667,51.942,7.864,0.22,1.13,52.32,86,32.34
10120,100,1963,4,216.816,49.21066667,54.086,7.994,0.73,2.13,55.7,68,34.04
10120,100,1963,5,203.06,44.75666667,49.17733333,7.21,0.7,3.48,72.94,104,31.88
10120,100,1963,6,201.9046667,45.5,50.00133333,5.836,0.3,4.8,79.63,246,32.72
10120,100,1963,7,163.6273333,36.36266666,39.962,4.126,0.29,5.9,85.9,380,31.72
10120,100,1963,8,183.9326667,40.99866667,45.05133333,5.084,0.48,5.74,86.06,287,31.29
10120,100,1963,9,176.8046667,36.22066667,39.806,6.284,0.29,3.23,83.2,325,32.21
10120,100,1963,10,167.342,31.88333333,35.038,7.07,0.13,1.65,81.87,185,30.74
10120,100,1963,11,162.474,27.066,29.74466667,7.84,0.01,0.63,78.17,22,27.89
10120,100,1963,12,153.8433334,22.344,24.54866667,6.938,0,0.19,76.55,0,26.04
10120,100,1964,1,159.0453333,22.13533333,24.322,6.938,0,0.29,69.97,0,23.98
10120,100,1964,2,163.6786666,25.19333334,27.68533333,6.938,0,0.69,64.93,0,26.82
10120,100,1964,3,213.3453333,45.91066667,50.452,8.856,0.28,0.32,54,5,31.7
10120,100,1964,4,192.2546667,40.284,44.26733333,7.778,0.91,2.4,64.8,109,33.64
10120,100,1964,5,201.3346667,44.82866667,49.25666667,6.548,0.52,2.77,73.32,231,31.83
10120,100,1964,6,199.7566667,44.15866667,48.52866667,5.774,0.73,4.83,81.2,363,32.39
10120,100,1964,7,174.7253333,37.492,41.19266666,4.784,0.44,6.1,87.84,555,30.62
10120,100,1964,8,163.8493333,35.81533333,39.36466667,4.974,0.58,5.16,84.9,217,32.05
10120,100,1964,9,188.2186667,39.794,43.72733333,6.178,0.25,4.27,85.4,316,31.59
10120,100,1964,10,183.9866667,37.514,41.21933333,6.972,0.34,2.9,83.16,219,31.16
10120,100,1964,11,162.2126667,27.09066667,29.77466667,6.938,0.12,0.33,74.83,0,29.27
10120,100,1964,12,158.388,22.07133333,24.26533333,6.938,0.15,0.16,73.1,0,25.8
10120,100,1965,1,157.0686667,22.518,24.74133333,6.938,0.17,0,69.42,0,25.48
10120,100,1965,2,160.766,25.678,28.21866667,6.938,0.2,0.86,65.36,0,27.83
10120,100,1965,3,210.996,47.11733334,51.78066667,7.994,0.96,1.42,48.77,69,31.25
10120,100,1965,4,218.5906667,45.48,49.97866667,5.622,1.19,1.8,52.37,0,33.28
10120,100,1965,5,213.804,44.002,48.35333333,8.196,1.16,3.03,65.06,81,33.9
10120,100,1965,6,173.0953333,38.98533334,42.83533333,4.108,0.93,5.4,82.07,1054,31.86
10120,100,1965,7,176.702,38.57533333,42.39266667,4.846,0.94,5.68,85,460,30.37
10120,100,1965,8,164.4013333,36.71266667,40.348,3.75,0.81,6.16,87.48,718,29.69
10120,100,1965,9,160.5173333,35.128,38.6,4.282,0.62,4.67,85.47,334,30.75
10120,100,1965,10,166.2733333,29.78533333,32.72866667,8.158,0.16,1.74,80.52,15,30.98
10120,100,1965,11,155.0713334,29.33333333,32.23866667,7.422,0.36,1.03,75.1,3,28.86
10120,100,1965,12,153.286,21.874,24.03866667,6.938,0.15,0.9,73.29,0,25.71
10120,100,1966,1,136.0113333,21.30066667,23.40333333,6.284,0.25,1.32,74.23,19,25.03
10120,100,1966,2,181.5173333,33.72,37.056,7.696,0.36,0.54,63.43,0,29.57
10120,100,1966,3,228.3806667,52.88,58.10933333,9.188,0.76,0.55,46.39,3,33.65
10120,100,1966,4,223.96,47.794,52.52133333,8.408,1.67,0.63,40.73,20,34.05
10120,100,1966,5,218.3253333,47.252,51.92266667,8.278,1.15,2.94,57.55,194,32.64
10120,100,1966,6,193.8146667,41.612,45.72733333,6.852,1.22,5.33,80.1,57,32.66
10120,100,1966,7,171.4446667,37.48666667,41.19466667,4.638,1.26,5.87,86.61,602,31.86
10120,100,1966,8,160.5226667,35.20466667,38.68333333,3.99,0.76,6.06,89.29,264,31.61
10120,100,1966,9,175.0986667,35.446,38.952,6.214,0.49,3.6,84.43,266,31.38
10120,100,1966,10,147.7746667,27.73466666,30.478,6.192,0.55,1.55,80.84,30,29.75
10120,100,1966,11,157.0226667,25.82533333,28.378,7.596,0.29,1.73,79.3,26,28.18
10120,100,1966,12,154.3286667,22.902,25.16866667,7.952,0.37,0.74,74.9,26,25.74
10120,100,1967,1,158.0793333,22.31533333,24.52533333,6.938,0,0.39,68.1,0,25.52
10120,100,1967,2,177.894,29.062,31.936,6.938,0,0.07,61.61,0,28.21
10120,100,1967,3,201.9006667,43.68466667,48.00733333,7.622,0.65,2.32,60.97,151,28.94
10120,100,1967,4,211.046,45.756,50.28666667,7.988,1.18,0,46.9,62,33.22
10120,100,1967,5,202.38,40.782,44.81,7.698,1.05,3.13,75.81,119,31.51
10120,100,1967,6,199.5773333,44.712,49.13333333,6.128,0.88,4.23,77.83,226,33.47
10120,100,1967,7,175.0846667,39.03933333,42.904,5.128,0.79,5.03,85.26,328,31.94
10120,100,1967,8,168.5493333,35.91266667,39.462,5.21,1.08,4.94,81.29,172,32.06
10120,100,1967,9,186.5573333,40.82266667,44.866,5.232,0.75,3.6,83.47,407,31.89
10120,100,1967,10,176.4586667,35.296,38.78333333,6.914,0.28,0.84,82.39,105,30.54
10120,100,1967,11,172.9933333,27.132,29.816,6.938,0.06,0.3,74.27,0,28.35
10120,100,1967,12,141.5833333,20.602,22.64066667,6.938,0.22,0.29,77.77,0,25.7
10120,100,1968,1,126.9686666,19.418,21.34133333,5.298,0.26,1.65,78,5,23.19
10120,100,1968,2,178.426,28.94,31.80333333,6.938,0.26,0.34,60.41,0,26.14
10120,100,1968,3,240.7293333,57.26866667,62.932,9.648,1.11,0.68,47.06,10,32.14
10120,100,1968,4,218.85,52.36466667,57.54533333,8.2,0.86,1.57,49.77,40,33.92
10120,100,1968,5,214.6366667,47.88333333,52.62,7.61,1.08,3.29,63.97,154,32.53
10120,100,1968,6,184.9053333,41.69066667,45.81266667,4.84,0.92,5.8,83.53,507,31.04
10120,100,1968,7,164.3113333,36.616,40.232,3.582,0.84,6,87.23,533,30.73
10120,100,1968,8,164.4966667,34.822,38.26333333,5.672,0.55,4.68,85.42,203,31.8
10120,100,1968,9,169.4486667,36.26133333,39.84666667,6.1,0.67,4.07,83.07,108,32.05
10120,100,1968,10,191.738,39.874,43.81866667,6.902,0.46,2.13,77.42,255,29.94
10120,100,1968,11,175.292,27.12333334,29.80533333,7.12,0.14,0.4,72.83,0,28.53
10120,100,1968,12,160.9926667,23.104,25.38733333,6.938,0.14,0.45,74.45,0,24.66
10120,100,1969,1,157.1813333,23.248,25.54533333,7.694,0.32,0.45,70.68,7,23.97
10120,100,1969,2,170.864,28.25066667,31.04866667,7.062,0.54,0.46,57.25,0,27.31
10120,100,1969,3,216.5913333,43.95533333,48.29933333,8.574,0.59,1.16,56.58,52,30.87
10120,100,1969,4,210.882,49.58333333,54.49266667,7.248,0.74,1.77,65.57,123,34.69
10120,100,1969,5,211.9306667,46.61266667,51.22666667,7.088,0.66,2.19,70.77,148,34.06
10120,100,1969,6,177.006,39.804,43.73866667,4.454,0.86,5.37,84.97,362,32.03
10120,100,1969,7,182.1686667,40.49466667,44.49733333,4.706,0.87,4.94,86.55,592,32.42
10120,100,1969,8,163.8313333,36.54133334,40.15866667,4.004,0.88,5.65,86.65,373,30.95
10120,100,1969,9,184.6966667,39.72533333,43.65533333,6.048,0.82,3.83,84.13,276,31.48
10120,100,1969,10,161.1853333,29.68133333,32.622,7.848,0.1,0.87,77.52,41,30.96
10120,100,1969,11,171.5066667,28.30066667,31.09933333,8.264,0.28,0.9,75.93,56,28.17
10120,100,1969,12,156.4073334,22.42066667,24.636,6.938,0.12,0.48,76.29,0,26.09
10120,100,1970,1,140.5886667,22.022,24.20266667,6.108,0,0.61,76.06,42,23.87
10120,100,1970,2,160.3253333,24.21333334,26.61,6.82,0.44,0.39,65.79,0,26.74
10120,100,1970,3,222.0446667,46.18866667,50.75666667,6.512,0.83,1.29,51.19,1,32.11
10120,100,1970,4,222.9666667,51.42333334,56.50533333,8.368,1.08,1.73,53.47,76,33.77
10120,100,1970,5,216.0446667,49.316,54.192,8.056,0.78,2.06,64.87,74,34.17
10120,100,1970,6,176.2653333,39.98333333,43.93466667,4.492,0.76,5.7,83.17,253,31.65
10120,100,1970,7,163.6893333,37.25,40.932,3.616,0.65,6.23,86.84,586,31.44
10120,100,1970,8,168.9206667,35.41933333,38.92333333,5.872,0.74,4.65,84.52,126,32.04
10120,100,1970,9,156.4586667,34.83133333,38.28,4.14,0.9,4.83,85.6,217,31.32
10120,100,1970,10,187.39,37.32266667,41.018,7.146,0.47,2.45,80.68,48,30.64
10120,100,1970,11,157.7173333,27.31133333,30.01066667,6.938,1.03,0.63,73,0,28.5
10120,100,1970,12,162.228,22.884,25.15333333,6.938,0.3,0,72.84,0,26.16
10120,100,1971,1,162.8033333,23.77733333,26.12466667,8.318,0.21,1.03,73.58,8,24.25
10120,100,1971,2,162.5313333,27.32533333,30.03066667,7.738,0.22,0.82,64.71,11,26.74
10120,100,1971,3,208.02,43.02333333,47.28,6.938,0.64,0.74,55.42,0,31.64
10120,100,1971,4,218.7893334,45.01666667,49.47333333,8.738,1.14,2.1,57.8,44,33.6
10120,100,1971,5,215.5633333,48.466,53.25933333,7.138,0.95,3.71,72.29,162,32.69
10120,100,1971,6,197.6366667,43.746,48.06866667,5.544,0.97,5.4,81.83,339,32.36
10120,100,1971,7,165.792,37.49733333,41.206,3.848,0.89,5.97,85.32,422,31.76
10120,100,1971,8,185.4706667,40.11066667,44.074,6.102,1.02,5.74,84.29,295,30.9
10120,100,1971,9,169.7266667,33.84866667,37.19866667,6.09,0.81,3.63,84.43,94,31.62
10120,100,1971,10,177.752,36.00666667,39.56533333,6.756,0.72,2.81,80.39,302,30.46
10120,100,1971,11,142.86,23.05533333,25.33733333,6.938,0.52,0.73,75.43,0,27.84
10120,100,1971,12,138.6133333,20.668,22.71466667,6.436,0.4,0.71,75.39,1,25.71
10120,100,1972,1,156.3173333,23.28733333,25.59466667,7.602,0.33,0.87,73.58,4,25
10120,100,1972,2,148.908,23.468,25.78866667,6.938,0.36,1.21,64.62,0,24.24
10120,100,1972,3,209.176,45.244,49.72266667,8.042,0.58,0.55,55.42,4,32.7
